Condition,Time,Cage,Gut,CFU
Inoculum,0,1,Inoculum,1.85E+04
Inoculum,0,1,Inoculum,1.70E+04
12C,2,1,Ileum,5.00E+01
12C,2,1,Ileum,5.00E+01
12C,2,2,Ileum,5.00E+01
12C,2,2,Ileum,5.00E+01
12C,2,3,Ileum,5.00E+01
12C,2,3,Ileum,5.00E+01
12C,2,4,Ileum,5.00E+01
12C,2,4,Ileum,5.00E+01
12C,2,5,Ileum,5.00E+01
12C,2,5,Ileum,5.00E+01
12C,8,1,Ileum,5.00E+01
12C,8,1,Ileum,2.00E+04
12C,8,2,Ileum,5.00E+01
12C,8,2,Ileum,5.00E+01
12C,8,3,Ileum,5.00E+01
12C,8,3,Ileum,5.00E+01
12C,8,4,Ileum,5.00E+01
12C,8,4,Ileum,5.00E+01
12C,8,5,Ileum,4.00E+02
12C,8,5,Ileum,5.00E+01
12C,24,1,Ileum,5.00E+01
12C,24,1,Ileum,5.61E+04
12C,24,2,Ileum,5.00E+01
12C,24,2,Ileum,2.10E+03
12C,24,3,Ileum,5.00E+01
12C,24,3,Ileum,2.50E+02
12C,24,4,Ileum,5.00E+01
12C,24,4,Ileum,9.03E+04
12C,24,5,Ileum,3.95E+03
12C,24,5,Ileum,2.30E+03
12C,32,1,Ileum,2.75E+06
12C,32,1,Ileum,2.85E+05
12C,32,2,Ileum,3.25E+04
12C,32,2,Ileum,5.35E+04
12C,32,3,Ileum,4.00E+02
12C,32,3,Ileum,5.00E+01
12C,32,4,Ileum,5.00E+01
12C,32,4,Ileum,5.00E+01
12C,32,5,Ileum,5.00E+01
12C,32,5,Ileum,5.00E+01
12C,48,1,Ileum,2.80E+05
12C,48,1,Ileum,2.95E+05
12C,48,2,Ileum,1.45E+05
12C,48,2,Ileum,3.40E+04
12C,48,3,Ileum,1.90E+06
12C,48,3,Ileum,3.90E+05
12C,48,4,Ileum,5.70E+06
12C,48,4,Ileum,2.05E+05
12C,48,5,Ileum,6.50E+04
12C,48,5,Ileum,1.20E+06
12C,56,1,Ileum,3.90E+06
12C,56,1,Ileum,2.40E+06
12C,56,2,Ileum,7.50E+05
12C,56,2,Ileum,8.50E+05
12C,56,3,Ileum,6.50E+03
12C,56,3,Ileum,1.35E+05
12C,56,4,Ileum,2.65E+06
12C,56,4,Ileum,1.05E+05
12C,56,5,Ileum,9.00E+05
12C,56,5,Ileum,2.65E+05
12C,72,1,Ileum,3.95E+06
12C,72,1,Ileum,4.90E+05
12C,72,2,Ileum,6.50E+04
12C,72,2,Ileum,5.00E+01
12C,72,3,Ileum,3.70E+05
12C,72,3,Ileum,2.80E+06
12C,72,4,Ileum,2.60E+06
12C,72,4,Ileum,1.15E+05
12C,72,5,Ileum,1.55E+05
12C,72,5,Ileum,2.90E+06
13C,24,6,Whole,1.05E+04
13C,24,6,Whole,7.50E+02
13C,24,6,Whole,2.57E+04
13C,32,6,Whole,7.00E+05
13C,32,6,Whole,3.00E+05
13C,32,6,Whole,1.00E+05
13C,48,6,Whole,2.35E+05
13C,48,6,Whole,3.10E+05
13C,48,6,Whole,1.45E+07
13C,56,6,Whole,3.45E+04
13C,56,6,Whole,3.55E+06
13C,56,6,Whole,7.50E+03
13C,72,6,Whole,3.70E+06
13C,72,6,Whole,5.00E+01
13C,72,6,Whole,7.50E+06
12C,48,2,Whole,2.00E+07
12C,56,4,Whole,1.80E+07
12C,72,3,Whole,1.65E+07
