Name_NIST_targeted,Metabolite
"Propylene glycol, 2TMS derivative ",Propylene glycol
"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester ",Pyruvate
"Lactic Acid, 2TMS derivative ",Lactate
"3-Hydroxybutyric acid, 2TMS derivative ",3-Hydroxybutyrate
"Urea, 3TMS derivative ",Urea
"L-Norvaline, 2TMS derivative ",Norvaline
"Urea, 2TMS derivative ",Urea_2
"L-Norleucine, 2TMS derivative ",Norleucine
"2-Butenedioic acid, (E)-, 2TMS derivative ",Fumarate
Unknown 8.6806 ,Unknown_8.68
"Malic acid, 3TMS derivative ",Malate
"Pentanedioic acid, 2-(methoxyimino)-, bis(trimethylsilyl) ester ",a-Ketoglutarate
"Pentanedioic acid, 2-(methoxyimino)-, bis(trimethylsilyl) ester_2 ",a-Ketoglutarate_2
"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester ",3Hmg
"Tartaric acid, 4TMS derivative ",Tartrate
Unknown 14.7511 ,Unknown_14.75
Unknown 15.1548 ,Unknown_15.15
Unknown 15.6174 ,Unknown_15.61
Unknown 15.8049 ,Unknown_15.80
"Isocitric acid lactone, 2TMS derivative ",Isocitric lactone
"Vanillic Acid, 2TMS derivative ",Vanillate
"9H-Purin-6-ol, 2TMS derivative ",Hypoxanthine
"Citric acid, 4TMS derivative ",Citrate
"Pentaric acid, 2,3-dideoxy-4-O-(trimethylsilyl)-3-[[(trimethylsilyl)oxy]carbonyl]-, bis(trimethylsilyl) ester ",Isocitrate
"Caffeic acid, 3TMS derivative ",Caffeate
"Kynurenine, 3TMS derivative ",Kynurenine
