Sample_Name,Sample,Contents
5_Standards_A_1,1A,01A 07F 08C 05D 06B 12E 11A 02F
6_Standards_B_1,1B,01B 07E 08A 05F 06C 12D 11B 02E
7_Standards_C_1,1C,01C 07D 08B 05E 06A 12F 11C 02D
14_Standards_A_2,2A,02A 08F 09C 04D 05B 11E 10A 03F
15_Standards_B_2,2B,02B 08E 09A 04F 05C 11D 10B 03E
16_Standards_C_2,2C,02C 08D 09B 04E 05C 11D 10B 03E
23_Standards_A_3,3A,03A 09F 07C 06D 04B 10E 12A 01F
24_Standards_B_3,3B,03B 09E 07A 06F 04C 10D 12B 01E
25_Standards_C_3,3C,03C 09D 07B 06E 04A 10F 12C 01D
31_Standards_A_7,7A,07A 06F 12C 01D 04A 10F 02G 08G
39_Standards_B_7,7B,07B 06E 02C 08D 12A 01F 04B 10E
40_Standards_C_7,7C,07C 06D 12B 01E 04C 10D
41_Standards_A_8,8A,08A 05F 11C 02D 01A 07F 03G 09G
49_Standards_B_8,8B,08B 05E 03C 09D 11A 02F 01B 07E
58_Standards_C_8,8C,08C 05D 11B 02E 01C 07D
63_Standards_A_9,9A,09A 04F 05B 11E 10C 03D 06A 12F
71_Standards_B_9,9B,09B 04E 05C 11D 10A 03F 06B 12E
74_Standards_C_9,9C,09C 04D 05A 11F 10B 03E 06C 12D
