Condition,Time,Cage,Gut,Experiment,CFU
Inoculum,0,1,Inoculum,2,1.85E+04
Inoculum,0,1,Inoculum,2,1.70E+04
12C,2,1,Ileum,2,5.00E+01
12C,2,1,Ileum,2,5.00E+01
12C,2,2,Ileum,2,5.00E+01
12C,2,2,Ileum,2,5.00E+01
12C,2,3,Ileum,2,5.00E+01
12C,2,3,Ileum,2,5.00E+01
12C,2,4,Ileum,2,5.00E+01
12C,2,4,Ileum,2,5.00E+01
12C,2,5,Ileum,2,5.00E+01
12C,2,5,Ileum,2,5.00E+01
12C,8,1,Ileum,2,5.00E+01
12C,8,1,Ileum,2,2.00E+04
12C,8,2,Ileum,2,5.00E+01
12C,8,2,Ileum,2,5.00E+01
12C,8,3,Ileum,2,5.00E+01
12C,8,3,Ileum,2,5.00E+01
12C,8,4,Ileum,2,5.00E+01
12C,8,4,Ileum,2,5.00E+01
12C,8,5,Ileum,2,4.00E+02
12C,8,5,Ileum,2,5.00E+01
12C,24,1,Ileum,2,5.00E+01
12C,24,1,Ileum,2,5.61E+04
12C,24,2,Ileum,2,5.00E+01
12C,24,2,Ileum,2,2.10E+03
12C,24,3,Ileum,2,5.00E+01
12C,24,3,Ileum,2,2.50E+02
12C,24,4,Ileum,2,5.00E+01
12C,24,4,Ileum,2,9.03E+04
12C,24,5,Ileum,2,3.95E+03
12C,24,5,Ileum,2,2.30E+03
12C,32,1,Ileum,2,2.75E+06
12C,32,1,Ileum,2,2.85E+05
12C,32,2,Ileum,2,3.25E+04
12C,32,2,Ileum,2,5.35E+04
12C,32,3,Ileum,2,4.00E+02
12C,32,3,Ileum,2,5.00E+01
12C,32,4,Ileum,2,5.00E+01
12C,32,4,Ileum,2,5.00E+01
12C,32,5,Ileum,2,5.00E+01
12C,32,5,Ileum,2,5.00E+01
12C,48,1,Ileum,2,2.80E+05
12C,48,1,Ileum,2,2.95E+05
12C,48,2,Ileum,2,1.45E+05
12C,48,2,Ileum,2,3.40E+04
12C,48,3,Ileum,2,1.90E+06
12C,48,3,Ileum,2,3.90E+05
12C,48,4,Ileum,2,5.70E+06
12C,48,4,Ileum,2,2.05E+05
12C,48,5,Ileum,2,6.50E+04
12C,48,5,Ileum,2,1.20E+06
12C,56,1,Ileum,2,3.90E+06
12C,56,1,Ileum,2,2.40E+06
12C,56,2,Ileum,2,7.50E+05
12C,56,2,Ileum,2,8.50E+05
12C,56,3,Ileum,2,6.50E+03
12C,56,3,Ileum,2,1.35E+05
12C,56,4,Ileum,2,2.65E+06
12C,56,4,Ileum,2,1.05E+05
12C,56,5,Ileum,2,9.00E+05
12C,56,5,Ileum,2,2.65E+05
12C,72,1,Ileum,2,3.95E+06
12C,72,1,Ileum,2,4.90E+05
12C,72,2,Ileum,2,6.50E+04
12C,72,2,Ileum,2,5.00E+01
12C,72,3,Ileum,2,3.70E+05
12C,72,3,Ileum,2,2.80E+06
12C,72,4,Ileum,2,2.60E+06
12C,72,4,Ileum,2,1.15E+05
12C,72,5,Ileum,2,1.55E+05
12C,72,5,Ileum,2,2.90E+06
13C,24,6,Whole,2,1.05E+04
13C,24,6,Whole,2,7.50E+02
13C,24,6,Whole,2,2.57E+04
13C,32,6,Whole,2,7.00E+05
13C,32,6,Whole,2,3.00E+05
13C,32,6,Whole,2,1.00E+05
13C,48,6,Whole,2,2.35E+05
13C,48,6,Whole,2,3.10E+05
13C,48,6,Whole,2,1.45E+07
13C,56,6,Whole,2,3.45E+04
13C,56,6,Whole,2,3.55E+06
13C,56,6,Whole,2,7.50E+03
13C,72,6,Whole,2,3.70E+06
13C,72,6,Whole,2,5.00E+01
13C,72,6,Whole,2,7.50E+06
12C,48,2,Whole,2,2.00E+07
12C,56,4,Whole,2,1.80E+07
12C,72,3,Whole,2,1.65E+07
12C,0,8,Inoculum,1,3.15E+04
13C,0,7,Inoculum,1,3.65E+04
12C,2,8,Ileum,1,6.50E+01
12C,2,8,Ileum,1,6.50E+01
12C,2,8,Ileum,1,6.50E+01
13C,2,7,Ileum,1,6.50E+01
13C,2,7,Ileum,1,6.50E+01
13C,2,7,Ileum,1,6.50E+01
12C,24,8,Ileum,1,1.11E+04
12C,24,8,Ileum,1,6.50E+01
12C,24,8,Ileum,1,1.76E+04
13C,24,7,Ileum,1,1.30E+02
13C,24,7,Ileum,1,8.45E+03
13C,24,7,Ileum,1,4.55E+03
12C,48,8,Ileum,1,5.85E+05
12C,48,8,Ileum,1,1.24E+06
12C,48,8,Ileum,1,NA
13C,48,7,Ileum,1,3.71E+06
13C,48,7,Ileum,1,4.55E+06
13C,48,7,Ileum,1,9.75E+05
12C,72,8,Ileum,1,2.21E+05
12C,72,8,Ileum,1,1.04E+06
12C,72,8,Ileum,1,3.90E+05
13C,72,7,Ileum,1,2.08E+06
13C,72,7,Ileum,1,1.30E+05
13C,72,7,Ileum,1,1.56E+05
